country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Jamaica,1991,181300003.0,4.42,164009995.0,4.47,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1992,215600006.0,6.1,122919998.0,3.79,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1993,239199997.0,4.4,105000000.0,2.0,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1994,522099976.0,9.58,121166000.0,2.38,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1995,639100000.0,9.72,114510002.0,1.84,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1996,690300000.0,9.34,62410000.0,0.87,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1997,715100000.0,8.51,76279999.0,0.94,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1998,741500000.0,8.44,23101871.0,0.27,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1999,775000000.0,8.72,-17228128.0,-0.2,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2000,877700000.0,9.75,14131871.0,0.16,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2001,1046600000.0,11.38,58900002.0,0.67,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2002,1241600000.0,12.77,28530001.0,0.31,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2003,1379600000.0,14.63,10545511.0,0.12,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2004,1601198135.0,15.74,86750511.0,0.9,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2005,1761628767.0,15.67,43750511.0,0.41,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2006,1923735274.0,16.12,40700001.0,0.36,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2007,2122091021.0,16.58,31660000.0,0.26,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2008,2156589500.0,15.73,89812874.0,0.68,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2009,1889494349.0,15.59,152283493.0,1.33,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2010,2026445825.0,15.33,142350006.0,1.12,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2011,2105606761.0,14.58,41032166.0,0.29,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2012,2168136683.0,14.64,28057690.0,0.19,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2013,2171887541.0,15.23,71592743.0,0.51,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2014,2268785014.0,16.32,95994011.0,0.71,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2015,2361233874.0,15.78,59072453.0,0.41,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2016,2433422796.0,16.33,26846397.0,0.19,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2017,2462677565.0,15.6,61547188.0,0.4,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2018,2501614919.0,14.84,100306389.0,0.62,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2019,2562542095.0,15.05,125933029.0,0.76,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2020,3066873500.0,20.45,67849091.0,0.47,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2021,3706698183.0,23.22,59953331.0,0.39,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2022,3687554909.0,19.6,96620438.0,0.52,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2023,3600799950.0,16.81,86414986.0,0.41,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,2024,3564377716.0,16.19,,,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)",
